X1,X2,F1,F2
0.0,0.0,0.0,50.0
0.0,0.03,0.0036,49.7009
0.0,0.06,0.0144,49.403600000000004
0.0,0.09,0.0324,49.1081
0.0,0.12,0.0576,48.8144
0.0,0.15,0.09,48.522499999999994
0.0,0.18,0.1296,48.2324
0.0,0.21,0.17639999999999997,47.9441
0.0,0.24,0.2304,47.6576
0.0,0.27,0.2916,47.3729
0.0,0.3,0.36,47.09
0.0,0.32999999999999996,0.4355999999999999,46.808899999999994
0.0,0.36,0.5184,46.5296
0.0,0.39,0.6084,46.2521
0.0,0.42,0.7055999999999999,45.9764
0.0,0.44999999999999996,0.8099999999999998,45.7025
0.0,0.48,0.9216,45.43039999999999
0.0,0.51,1.0404,45.1601
0.0,0.54,1.1664,44.8916
0.0,0.57,1.2995999999999999,44.6249
0.0,0.6,1.44,44.36
0.0,0.63,1.5876000000000001,44.096900000000005
0.0,0.6599999999999999,1.7423999999999995,43.8356
0.0,0.69,1.9043999999999996,43.576100000000004
0.0,0.72,2.0736,43.3184
0.0,0.75,2.25,43.0625
0.0,0.78,2.4336,42.8084
0.0,0.8099999999999999,2.6243999999999996,42.5561
0.0,0.84,2.8223999999999996,42.3056
0.0,0.87,3.0276,42.0569
0.0,0.8999999999999999,3.2399999999999993,41.81
0.0,0.9299999999999999,3.4595999999999996,41.5649
0.0,0.96,3.6864,41.321600000000004
0.0,0.99,3.9204,41.0801
0.0,1.02,4.1616,40.8404
0.0,1.05,4.41,40.6025
0.0,1.08,4.6656,40.3664
0.0,1.1099999999999999,4.928399999999999,40.1321
0.0,1.14,5.1983999999999995,39.89960000000001
0.0,1.17,5.475599999999999,39.6689
0.0,1.2,5.76,39.44
0.0,1.23,6.0516,39.2129
0.0,1.26,6.3504000000000005,38.9876
0.0,1.29,6.6564000000000005,38.7641
0.0,1.3199999999999998,6.969599999999998,38.5424
0.0,1.3499999999999999,7.289999999999998,38.322500000000005
0.0,1.38,7.617599999999999,38.1044
0.0,1.41,7.952399999999999,37.8881
0.0,1.44,8.2944,37.6736
0.0,1.47,8.6436,37.4609
0.0,1.5,9.0,37.25
0.0,1.53,9.3636,37.0409
0.0,1.56,9.7344,36.8336
0.0,1.5899999999999999,10.112399999999997,36.6281
0.0,1.6199999999999999,10.497599999999998,36.4244
0.0,1.65,10.889999999999999,36.2225
0.0,1.68,11.289599999999998,36.022400000000005
0.0,1.71,11.696399999999999,35.8241
0.0,1.74,12.1104,35.6276
0.0,1.77,12.531600000000001,35.432900000000004
0.0,1.7999999999999998,12.959999999999997,35.24
0.0,1.8299999999999998,13.395599999999998,35.0489
0.0,1.8599999999999999,13.838399999999998,34.8596
0.0,1.89,14.2884,34.6721
0.0,1.92,14.7456,34.4864
0.0,1.95,15.209999999999999,34.302499999999995
0.0,1.98,15.6816,34.120400000000004
0.0,2.01,16.160399999999996,33.9401
0.0,2.04,16.6464,33.7616
0.0,2.07,17.139599999999998,33.584900000000005
0.0,2.1,17.64,33.41
0.0,2.13,18.147599999999997,33.2369
0.0,2.16,18.6624,33.0656
0.0,2.19,19.1844,32.896100000000004
0.0,2.2199999999999998,19.713599999999996,32.7284
0.0,2.25,20.25,32.5625
0.0,2.28,20.793599999999998,32.3984
0.0,2.31,21.3444,32.2361
0.0,2.34,21.902399999999997,32.0756
0.0,2.37,22.4676,31.9169
0.0,2.4,23.04,31.76
0.0,2.4299999999999997,23.619599999999995,31.6049
0.0,2.46,24.2064,31.4516
0.0,2.4899999999999998,24.800399999999996,31.3001
0.0,2.52,25.401600000000002,31.1504
0.0,2.55,26.009999999999998,31.0025
0.0,2.58,26.625600000000002,30.8564
0.0,2.61,27.248399999999997,30.7121
0.0,2.6399999999999997,27.878399999999992,30.5696
0.0,2.67,28.5156,30.4289
0.0,2.6999999999999997,29.159999999999993,30.29
0.0,2.73,29.8116,30.1529
0.0,2.76,30.470399999999994,30.0176
0.0,2.79,31.136400000000002,29.8841
0.0,2.82,31.809599999999996,29.7524
0.0,2.85,32.49,29.6225
0.0,2.88,33.1776,29.4944
0.0,2.9099999999999997,33.87239999999999,29.368100000000002
0.0,2.94,34.5744,29.2436
0.0,2.9699999999999998,35.28359999999999,29.1209
0.0,3.0,36.0,29.0
0.05,0.0,0.010000000000000002,49.5025
0.05,0.03,0.013600000000000001,49.2034
0.05,0.06,0.0244,48.90610000000001
0.05,0.09,0.0424,48.610600000000005
0.05,0.12,0.0676,48.316900000000004
0.05,0.15,0.1,48.025
0.05,0.18,0.1396,47.7349
0.05,0.21,0.18639999999999998,47.446600000000004
0.05,0.24,0.2404,47.1601
0.05,0.27,0.30160000000000003,46.875400000000006
0.05,0.3,0.37,46.5925
0.05,0.32999999999999996,0.4455999999999999,46.3114
0.05,0.36,0.5284,46.0321
0.05,0.39,0.6184000000000001,45.7546
0.05,0.42,0.7155999999999999,45.4789
0.05,0.44999999999999996,0.8199999999999998,45.205
0.05,0.48,0.9316,44.9329
0.05,0.51,1.0504,44.662600000000005
0.05,0.54,1.1764000000000001,44.3941
0.05,0.57,1.3095999999999999,44.127399999999994
0.05,0.6,1.45,43.862500000000004
0.05,0.63,1.5976000000000001,43.5994
0.05,0.6599999999999999,1.7523999999999995,43.3381
0.05,0.69,1.9143999999999997,43.07860000000001
0.05,0.72,2.0835999999999997,42.8209
0.05,0.75,2.26,42.565
0.05,0.78,2.4436,42.310900000000004
0.05,0.8099999999999999,2.6343999999999994,42.058600000000006
0.05,0.84,2.8323999999999994,41.8081
0.05,0.87,3.0376,41.5594
0.05,0.8999999999999999,3.249999999999999,41.3125
0.05,0.9299999999999999,3.4695999999999994,41.067400000000006
0.05,0.96,3.6963999999999997,40.8241
0.05,0.99,3.9303999999999997,40.5826
0.05,1.02,4.1716,40.3429
0.05,1.05,4.42,40.105000000000004
0.05,1.08,4.6756,39.8689
0.05,1.1099999999999999,4.938399999999999,39.634600000000006
0.05,1.14,5.208399999999999,39.402100000000004
0.05,1.17,5.485599999999999,39.171400000000006
0.05,1.2,5.77,38.9425
0.05,1.23,6.061599999999999,38.7154
0.05,1.26,6.3604,38.490100000000005
0.05,1.29,6.6664,38.2666
0.05,1.3199999999999998,6.979599999999998,38.0449
0.05,1.3499999999999999,7.299999999999998,37.825
0.05,1.38,7.627599999999998,37.6069
0.05,1.41,7.962399999999999,37.3906
0.05,1.44,8.3044,37.176100000000005
0.05,1.47,8.653599999999999,36.96340000000001
0.05,1.5,9.01,36.7525
0.05,1.53,9.3736,36.5434
0.05,1.56,9.7444,36.3361
0.05,1.5899999999999999,10.122399999999997,36.1306
0.05,1.6199999999999999,10.507599999999998,35.9269
0.05,1.65,10.899999999999999,35.725
0.05,1.68,11.299599999999998,35.5249
0.05,1.71,11.706399999999999,35.3266
0.05,1.74,12.1204,35.1301
0.05,1.77,12.5416,34.9354
0.05,1.7999999999999998,12.969999999999997,34.74250000000001
0.05,1.8299999999999998,13.405599999999998,34.5514
0.05,1.8599999999999999,13.848399999999998,34.3621
0.05,1.89,14.298399999999999,34.174600000000005
0.05,1.92,14.7556,33.9889
0.05,1.95,15.219999999999999,33.805
0.05,1.98,15.6916,33.6229
0.05,2.01,16.170399999999997,33.4426
0.05,2.04,16.6564,33.2641
0.05,2.07,17.1496,33.0874
0.05,2.1,17.650000000000002,32.9125
0.05,2.13,18.1576,32.7394
0.05,2.16,18.672400000000003,32.5681
0.05,2.19,19.1944,32.3986
0.05,2.2199999999999998,19.723599999999998,32.230900000000005
0.05,2.25,20.26,32.065
0.05,2.28,20.8036,31.900900000000004
0.05,2.31,21.354400000000002,31.7386
0.05,2.34,21.912399999999998,31.578100000000003
0.05,2.37,22.477600000000002,31.4194
0.05,2.4,23.05,31.262500000000003
0.05,2.4299999999999997,23.629599999999996,31.107400000000002
0.05,2.46,24.2164,30.9541
0.05,2.4899999999999998,24.810399999999998,30.8026
0.05,2.52,25.411600000000004,30.652900000000002
0.05,2.55,26.02,30.505000000000003
0.05,2.58,26.635600000000004,30.358900000000002
0.05,2.61,27.258399999999998,30.2146
0.05,2.6399999999999997,27.888399999999994,30.072100000000002
0.05,2.67,28.5256,29.931400000000004
0.05,2.6999999999999997,29.169999999999995,29.792500000000004
0.05,2.73,29.8216,29.6554
0.05,2.76,30.480399999999996,29.520100000000003
0.05,2.79,31.146400000000003,29.3866
0.05,2.82,31.819599999999998,29.254900000000003
0.05,2.85,32.5,29.125
0.05,2.88,33.187599999999996,28.996900000000004
0.05,2.9099999999999997,33.88239999999999,28.870600000000003
0.05,2.94,34.584399999999995,28.746100000000002
0.05,2.9699999999999998,35.29359999999999,28.623400000000004
0.05,3.0,36.01,28.5025
0.1,0.0,0.04000000000000001,49.010000000000005
0.1,0.03,0.04360000000000001,48.7109
0.1,0.06,0.054400000000000004,48.41360000000001
0.1,0.09,0.0724,48.118100000000005
0.1,0.12,0.0976,47.824400000000004
0.1,0.15,0.13,47.5325
0.1,0.18,0.1696,47.2424
0.1,0.21,0.21639999999999998,46.954100000000004
0.1,0.24,0.2704,46.66760000000001
0.1,0.27,0.3316,46.38290000000001
0.1,0.3,0.4,46.10000000000001
0.1,0.32999999999999996,0.4755999999999999,45.8189
0.1,0.36,0.5584,45.53960000000001
0.1,0.39,0.6484000000000001,45.262100000000004
0.1,0.42,0.7455999999999999,44.9864
0.1,0.44999999999999996,0.8499999999999999,44.712500000000006
0.1,0.48,0.9616,44.4404
0.1,0.51,1.0804,44.170100000000005
0.1,0.54,1.2064000000000001,43.9016
0.1,0.57,1.3396,43.6349
0.1,0.6,1.48,43.370000000000005
0.1,0.63,1.6276000000000002,43.10690000000001
0.1,0.6599999999999999,1.7823999999999995,42.845600000000005
0.1,0.69,1.9443999999999997,42.58610000000001
0.1,0.72,2.1136,42.3284
0.1,0.75,2.29,42.072500000000005
0.1,0.78,2.4736000000000002,41.818400000000004
0.1,0.8099999999999999,2.6643999999999997,41.566100000000006
0.1,0.84,2.8623999999999996,41.3156
0.1,0.87,3.0676,41.066900000000004
0.1,0.8999999999999999,3.2799999999999994,40.82000000000001
0.1,0.9299999999999999,3.4995999999999996,40.57490000000001
0.1,0.96,3.7264,40.33160000000001
0.1,0.99,3.9604,40.09010000000001
0.1,1.02,4.2016,39.85040000000001
0.1,1.05,4.45,39.612500000000004
0.1,1.08,4.7056000000000004,39.376400000000004
0.1,1.1099999999999999,4.968399999999999,39.142100000000006
0.1,1.14,5.2383999999999995,38.90960000000001
0.1,1.17,5.515599999999999,38.678900000000006
0.1,1.2,5.8,38.45
0.1,1.23,6.0916,38.2229
0.1,1.26,6.3904000000000005,37.997600000000006
0.1,1.29,6.696400000000001,37.774100000000004
